task,worker,label
344,AI_max_12,2
345,AI_max_12,1
346,AI_max_12,2
347,AI_max_12,1
340,AI_max_12,1
341,AI_max_12,3
342,AI_max_12,3
343,AI_max_12,1
348,AI_max_12,2
349,AI_max_12,1
595,AI_max_12,3
719,AI_max_12,2
718,AI_max_12,2
717,AI_max_12,3
716,AI_max_12,1
715,AI_max_12,3
714,AI_max_12,1
713,AI_max_12,3
712,AI_max_12,3
711,AI_max_12,1
710,AI_max_12,3
606,AI_max_12,1
594,AI_max_12,2
736,AI_max_12,2
619,AI_max_12,1
298,AI_max_12,2
299,AI_max_12,2
296,AI_max_12,2
297,AI_max_12,2
294,AI_max_12,2
295,AI_max_12,2
292,AI_max_12,2
293,AI_max_12,3
290,AI_max_12,1
291,AI_max_12,3
591,AI_max_12,1
590,AI_max_12,2
593,AI_max_12,1
592,AI_max_12,2
199,AI_max_12,3
198,AI_max_12,2
597,AI_max_12,2
596,AI_max_12,1
195,AI_max_12,3
194,AI_max_12,2
197,AI_max_12,3
196,AI_max_12,3
191,AI_max_12,1
190,AI_max_12,3
193,AI_max_12,3
192,AI_max_12,3
270,AI_max_12,3
271,AI_max_12,3
272,AI_max_12,3
273,AI_max_12,3
274,AI_max_12,2
275,AI_max_12,1
276,AI_max_12,2
277,AI_max_12,2
278,AI_max_12,2
279,AI_max_12,1
738,AI_max_12,3
524,AI_max_12,3
525,AI_max_12,1
526,AI_max_12,2
527,AI_max_12,3
520,AI_max_12,2
521,AI_max_12,2
522,AI_max_12,2
523,AI_max_12,2
599,AI_max_12,2
528,AI_max_12,3
529,AI_max_12,2
449,AI_max_12,3
448,AI_max_12,2
443,AI_max_12,2
442,AI_max_12,3
441,AI_max_12,3
440,AI_max_12,2
447,AI_max_12,2
446,AI_max_12,3
445,AI_max_12,2
444,AI_max_12,1
108,AI_max_12,2
109,AI_max_12,1
102,AI_max_12,1
103,AI_max_12,1
100,AI_max_12,2
101,AI_max_12,2
106,AI_max_12,3
107,AI_max_12,3
104,AI_max_12,2
105,AI_max_12,1
39,AI_max_12,3
38,AI_max_12,2
33,AI_max_12,2
32,AI_max_12,1
31,AI_max_12,2
30,AI_max_12,1
37,AI_max_12,3
36,AI_max_12,3
35,AI_max_12,3
34,AI_max_12,2
641,AI_max_12,2
640,AI_max_12,2
643,AI_max_12,1
642,AI_max_12,2
645,AI_max_12,2
644,AI_max_12,1
438,AI_max_12,3
439,AI_max_12,1
436,AI_max_12,3
437,AI_max_12,3
434,AI_max_12,1
435,AI_max_12,2
432,AI_max_12,2
433,AI_max_12,2
430,AI_max_12,2
431,AI_max_12,3
339,AI_max_12,2
338,AI_max_12,2
335,AI_max_12,2
334,AI_max_12,3
337,AI_max_12,3
336,AI_max_12,2
331,AI_max_12,3
330,AI_max_12,2
333,AI_max_12,2
332,AI_max_12,2
744,AI_max_12,2
745,AI_max_12,3
748,AI_max_12,2
6,AI_max_12,2
99,AI_max_12,2
98,AI_max_12,2
91,AI_max_12,1
90,AI_max_12,1
93,AI_max_12,2
92,AI_max_12,2
95,AI_max_12,1
94,AI_max_12,3
97,AI_max_12,1
96,AI_max_12,2
740,AI_max_12,1
741,AI_max_12,2
742,AI_max_12,2
743,AI_max_12,3
559,AI_max_12,1
558,AI_max_12,3
746,AI_max_12,3
747,AI_max_12,1
555,AI_max_12,2
554,AI_max_12,2
557,AI_max_12,3
556,AI_max_12,2
551,AI_max_12,2
550,AI_max_12,2
553,AI_max_12,2
552,AI_max_12,2
238,AI_max_12,2
239,AI_max_12,1
234,AI_max_12,1
235,AI_max_12,2
236,AI_max_12,2
237,AI_max_12,1
230,AI_max_12,1
231,AI_max_12,1
232,AI_max_12,3
233,AI_max_12,1
1,AI_max_12,3
614,AI_max_12,2
146,AI_max_12,1
147,AI_max_12,3
144,AI_max_12,1
145,AI_max_12,2
142,AI_max_12,2
143,AI_max_12,2
140,AI_max_12,2
141,AI_max_12,3
612,AI_max_12,2
613,AI_max_12,2
610,AI_max_12,1
611,AI_max_12,3
616,AI_max_12,2
617,AI_max_12,2
148,AI_max_12,2
149,AI_max_12,3
768,AI_max_12,2
689,AI_max_12,3
688,AI_max_12,3
685,AI_max_12,1
684,AI_max_12,2
687,AI_max_12,3
686,AI_max_12,2
681,AI_max_12,2
680,AI_max_12,3
683,AI_max_12,2
682,AI_max_12,1
623,AI_max_12,2
622,AI_max_12,2
133,AI_max_12,1
132,AI_max_12,1
131,AI_max_12,2
130,AI_max_12,1
137,AI_max_12,3
